Gene	1.ctrl	2.ctrl	3.dox	4.dox	5.acti	6.acti	7.fccp	8.fccp	9.mb	10.mb
PVRL4	0.949379535	0.723646767	0.960661531	0.878508052	0.899270262	0.859093996	0.611717741	0.741289409	1.936485272	2.385189412
PVT1	4.773207266	4.711447563	4.983557832	5.220333252	5.371852335	5.19094877	5.119063761	5.326968627	4.38838704	4.37758819
PWAR6	2.301899614	2.047757007	2.21856351	2.067861539	2.073190243	1.897159768	2.501995689	2.163649373	2.379724378	1.753364317
PWP1	5.909387296	5.600148133	5.954515564	5.906490344	6.099877604	6.334973993	6.205288613	6.079973361	6.039513728	5.519543932
PWP2	5.745656764	5.864883793	6.173798062	6.10812332	6.221248608	6.086444658	6.162499475	6.271172726	5.35483791	5.485346522
PWWP2A	4.47294699	3.949707617	4.268396124	4.365088523	4.185415151	4.3118824	4.604274433	4.321200855	3.979212841	4.049854273
PWWP2B	3.394694962	3.655602442	3.66084582	3.634144067	3.986526234	3.863263014	3.626867424	3.925680947	3.431007674	3.507800196
PXDC1	4.116444555	3.879615553	4.268396124	4.409550458	4.67309276	4.427901479	4.450159611	4.394236655	3.012443495	3.79261005
PXDN	9.991240225	10.15694056	10.3476288	10.26838051	10.16953021	10.06973103	10.05626401	10.09783642	10.17814101	10.35481725
PXK	3.422800321	3.367715007	4.161978524	4.262163721	4.874440747	4.873297667	4.066460617	4.061139851	3.595460535	3.659338979
PXMP2	2.584972193	2.307083166	2.614130858	2.61531868	2.848005604	2.909041623	2.967353341	3.052549833	2.843247365	2.800258024
PXMP4	3.83202779	3.784793181	3.919128016	3.855996394	3.018137852	3.738771094	3.514694321	3.408315419	4.338847739	4.410638864
PXN	6.330001083	6.547396548	6.62812621	6.511477575	6.500485979	6.391405271	6.313817813	6.459122796	6.375106835	6.606054259
PXN-AS1	1.741940001	1.882378041	2.023964957	2.022776731	1.983982123	1.826947952	1.997270481	2.330562805	1.357657467	1.704994722
PYCARD	2.481878556	2.283150248	2.739245973	2.463322967	2.180333397	2.237449031	1.915485342	1.858226159	2.535973925	2.663512408
PYCR1	6.162315974	6.608258958	7.689465077	7.39633825	8.072083449	8.154358123	7.570582553	7.751384692	5.916938169	6.781517974
PYCR2	5.73542154	5.494681788	6.033530505	6.08432164	6.379529394	6.27690376	6.334419897	6.356965521	5.8580029	5.880562521
