Gene Symbol	1.ctrl	2.ctrl	3.dox	4.dox	5.acti	6.acti	7.fccp	8.fccp	9.mb	10.mb
AK4	8.98143	9.32929	8.98918	8.70411	10.1615	10.6109	9.91957	10.2699	11.7455	11.2886
AK6	8.9083	8.45495	10.2593	10.5601	10.4398	9.88499	10.9133	11.7011	8.89126	9.98689
AKAP1	9.65558	11.3896	8.45142	8.57865	10.4395	11.1153	10.8358	11.5921	8.71748	9.22455
AKAP10	10.2246	8.73206	10.2937	10.4874	10.7173	10.4946	10.5703	10.1052	8.92957	9.44514
AKAP11	9.75821	11.3341	9.41623	9.36253	9.2651	10.372	10.0497	11.6234	9.45937	9.35929
AKAP12	11.4031	10.9665	8.41419	9.09582	9.82851	9.88504	12.6772	12.3154	7.78765	7.62663
AKAP13	11.3018	10.6459	10.0937	10.2526	9.68712	9.54805	9.09776	9.36218	10.0116	9.99937
AKAP17A	10.2369	9.97711	10.2382	9.23369	10.1165	9.4671	9.88314	8.73945	11.1386	10.9693
AKAP2	9.48708	10.621	8.21099	8.61732	9.89562	9.7112	10.1159	9.79475	11.5681	11.9781
AKAP5	11.0245	11.622	7.99366	8.34768	8.81938	9.24486	8.6206	8.85126	12.6032	12.8729
AKAP8	10.0706	11.8108	9.67989	9.68499	9.6184	9.96232	9.80172	9.98298	9.30002	10.0883
AKAP8L	10.0326	9.93155	9.22733	8.7119	10.9558	10.1065	10.7543	9.45885	10.4596	10.3615
AKAP9	10.1594	9.78463	9.9077	9.79386	9.62604	9.40961	9.86973	9.7584	10.9463	10.7443
AKIRIN2	10.7129	9.74591	10.2754	8.51826	9.37438	8.73022	9.76381	9.15232	12.7332	10.9936
AKR1A1	9.46408	8.17763	10.9267	11.0461	10.5287	10.173	10.9009	11.1812	8.87587	8.7258
AKR1B1	8.78308	8.26159	10.9859	10.8531	10.5176	10.9894	10.6542	11.0201	9.28087	8.65403
AKR1B15	9.54938	8.1597	10.7705	10.236	10.2412	10.8291	11.1296	10.2808	8.98353	9.82017
AKR1C1	8.90003	7.93336	9.63113	13.7127	10.456	10.5543	10.029	9.57015	9.22519	9.98815
AKR1C2	8.79944	7.69344	12.7603	12.397	9.77467	11.1009	9.99061	11.1831	8.15089	8.14963
AKR1C3	8.77134	8.85777	11.2709	11.8384	10.6308	10.8159	9.74919	9.80839	9.33306	8.92433
AKR7A2	9.28586	8.68827	10.5301	10.6886	10.2607	10.4846	10.1071	10.239	10.104	9.61185
AKT1	9.5973	8.45385	11.2527	11.1196	9.83365	9.35879	9.266	9.5143	11.1302	10.4735
AKT1S1	10.404	9.08536	10.1234	10.2041	10.4544	9.5503	11.1419	10.4095	9.06273	9.56427
AKT2	10.4925	8.96254	12.8283	11.6046	9.13583	8.52937	8.90578	9.22667	10.6796	9.63485
AKTIP	10.0633	8.83309	11.902	9.33837	9.38276	9.25975	9.70203	11.96	10.0649	9.49385
ALAD	9.93107	8.39155	10.8515	10.3631	10.484	9.86377	9.45609	9.39227	10.8937	10.373
